Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,7.134085829537713,18.33260884535063,38.730067008953334,79.04286828542214,143.23962996926383,254.2134125424384
,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,7.518450048177551,15.821265132377768,32.47496487781178,76.1218197941077,131.9364998524748,234.98205127591626
,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,8.449164342634807,11.698816578761848,20.88288558093902,78.73916261031623,119.77002911265191,216.33072096984807
,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,8.449164342634807,11.698816578761848,20.88288558093902,78.73916261031623,119.77002911265191,216.33072096984807
,,0.005,good,random,0.995,0.995,0.995,0.995,1,1,1,1,8.449164342634807,11.698816578761848,20.88288558093902,78.73916261031623,119.77002911265191,216.33072096984807
,,0.005,good,random_idle,0.995,0.995,0.995,0.995,1,1,1,1,14.179813970576129,15.08600965095366,22.263790908643717,55.75457111709565,107.28418564726915,182.90995392044516
,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,7.134085829537713,18.33260884535063,38.730067008953334,79.04286828542214,143.23962996926383,175.50547736535304
,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,6.592338185853324,18.49389630394988,39.88886731908379,88.13186376352145,153.10696557240846,185.3248570672563
,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,1.1757385760028893,1.8969366488580404,3.638224284384562,780.533646313942,787.2445458231874,790.8976502598906
,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,8.449164342634807,11.698816578761848,20.88288558093902,78.73916261031623,119.77002911265191,142.9793663681076
,,0.005,bad,random,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,8.23549186594474,12.066957242873107,20.640581261673095,79.19179901259095,120.1348293830819,143.29515316483307
,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,14.161197487807751,14.269478836379259,22.104554157839054,56.753383202723036,107.2886136847491,138.33098178275603
