Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,good,random,0.995,0.995,0.995,0.995,0.9992971015023686,1.00018179771894,1.0004298542374326,1.0001170199077103,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,good,random_idle,0.995,0.995,0.995,0.995,0.9992971015023686,1.00018179771894,1.0004298542374326,1.0001170199077103,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,8.336857223096812
,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
,,0.005,bad,random,0.995,0.995,0.995,0.995,1.0006669126911873,0.9998469943477857,0.9995341599860089,0.9997822165075256,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,1.0006669126911873,0.9998469943477857,0.9995341599860089,0.9997822165075256,0.03831518164585692,0.9999999999999999,1.2236492737891014,2.4628966259012266,4.724861081336185,5.837726020911742
