Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
0,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,15.000751517545819,35.71923097722177,55.568266535883815,154.6808810996303,260.9691301302817,464.60193257957513
0,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,16.192053690034886,32.91669149107014,43.97009092299529,149.46179701823934,242.54063312233964,432.2880545862659
0,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,24.496601242007284,25.530034839688167,22.251266267605,139.37655809552356,211.654460444824,374.3752076653136
0,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,24.496601242007284,25.530034839688167,22.251266267605,139.37655809552356,211.654460444824,374.3752076653136
0,,0.005,good,random,0.995,0.995,0.995,0.995,1,1,1,1,24.496601242007284,25.530034839688167,22.251266267605,139.37655809552356,211.654460444824,374.3752076653136
0,,0.005,good,random_idle,0.995,0.995,0.995,0.995,1,1,1,1,59.09885919733258,51.11266447880102,24.261336851304364,117.03366282215858,251.50652334959653,401.75196556555835
1,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,15.000751517545819,35.71923097722177,55.568266535883815,154.6808810996303,260.9691301302817,318.30545781127
1,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,14.419962469445474,37.54990539785142,69.60586183508707,177.80773517422278,299.38346487660675,362.03865155631553
1,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,1.153914620583301,2.3951365677705994,3.356455399204113,7444.870346749349,7451.775853336907,7455.645344135739
1,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,24.496601242007284,25.530034839688167,22.251266267605,139.37655809552356,211.654460444824,260.58817366915844
1,,0.005,bad,random,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,24.24211150847749,25.665263272836015,22.095722337829397,142.55440111938753,214.55749823853046,263.2750260415084
1,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,1,0.9991800815818671,0.9988672472595318,0.9991153037518907,55.15650956992476,50.40641746011273,23.391551629701578,120.30254851687477,249.25702717661383,345.8149989298476
